id	rate
20017	25
20019	19
20021	148
20023	13
20025	19
20027	65
20029	63
20031	20
20033	9
20035	203
20037	243
20039	25
20041	128
20043	36
20045	1397
20047	19
20049	6
20051	172
20053	39
20055	354
20057	219
20059	196
20061	682
20063	12
20065	5
20067	50
20069	77
20071	2
20073	10
20075	21
20077	32
20079	405
20081	16
20083	26
20085	19
20087	59
20089	34
20091	2538
20093	0
20095	48
20097	55
20099	114
20101	29
20103	529
20105	11
20107	15
20109	38
20111	196
20113	316
20115	108
20117	73
20119	20
20121	122
20123	70
20125	289
20127	17
20129	7
20131	123
20133	222
20135	31
20137	3
20139	52
20141	15
20143	37
20145	61
20147	28
20149	154
20151	84
20153	24
20155	618
20157	122
20159	44
20161	529
20163	28
20165	16
20167	9
20169	710
20171	30
20173	2500
20175	315
20177	826
20179	10
20181	43
20183	35
20185	16
20187	0
20189	14
20191	97
20193	85
20195	10
20197	38
20199	4
20201	28
20203	7
20205	28
20207	16
20209	1682
21001	121
21003	213
21005	74
21007	67
21009	155
21011	78
21013	50
21015	692
21017	41
21019	221
21021	122
21023	35
21025	2
21027	224
21029	133
21031	40
21033	138
21035	183
21037	315
21039	25
21041	129
21043	74
21045	222
21047	435
21049	82
21051	91
21053	8
21055	18
21057	24
21059	394
21061	77
21063	36
21065	5
21067	2153
21069	41
21071	30
21073	204
21075	31
21077	47
21079	30
21081	153
21083	135
21085	121
21087	81
21089	87
21091	33
21093	563
21095	171
21097	43
21099	71
21101	159
21103	65
21105	63
21107	207
21109	53
21111	4496
21113	108
21115	28
21117	477
21119	49
21121	0
21123	29
21125	129
21127	15
21129	55
21131	14
21133	147
21135	113
21137	38
21139	60
21141	246
21143	19
21145	465
21147	43
21149	56
21151	622
21153	8
21155	133
21157	106
21159	9
21161	95
21163	118
21165	13
21167	52
21169	22
21171	26
21173	70
21175	0
21177	184
21179	183
21181	0
21183	65
21185	89
21187	19
21189	0
21191	30
21193	92
21195	160
21197	41
21199	257
21201	0
21203	63
21205	79
21207	250
21209	140
21211	80
21213	99
21215	77
21217	105
21219	156
21221	42
21223	37
21225	56
21227	543
21229	46
21231	16
21233	57
21235	57
21237	13
21239	85
22001	425
22003	173
22005	606
22007	255
22009	102
22011	422
22013	80
22015	1037
22017	1807
22019	1116
22021	87
22023	84
22025	162
22027	180
22029	138
22031	112
22033	2511
22035	31
22037	110
22039	174
22041	141
22043	124
22045	428
22047	156
22049	116
22051	3918
22053	329
22055	1977
22057	1480
22059	180
22061	304
22063	647
22065	70
22067	174
22069	326
22071	5753
22073	756
22075	331
22077	184
22079	930
22081	126
22083	44
22085	254
22087	194
22089	374
22091	149
22093	72
22095	517
22097	471
22099	84
22101	632
22103	2017
22105	1663
22107	28
22109	1880
22111	119
22113	347
22115	510
22117	493
22119	606
22121	206
22123	73
22125	15
22127	63
23001	697
23003	485
23005	2786
23007	111
23009	667
23011	1068
23013	447
23015	165
23017	175
23019	1431
23021	49
23023	259
23025	232
23027	372
23029	104
23031	1394
24001	227
24003	3241
24005	4532
24009	348
24011	645
24013	532
24015	383
24017	562
24019	307
24021	1015
24023	184
24025	878
24027	992
24029	224
24031	6178
24033	4012
24035	194
24037	457
24039	155
24041	185
24043	883
24045	733
24047	450
24510	5824
25001	1395
25003	1010
25005	2238
25007	363
25009	6158
25011	529
25013	1560
25015	1437
25017	16604
25019	252
25021	4079
25023	2061
25025	9052
25027	3899
26001	37
26003	57
26005	544
26007	244
26009	82
26011	71
26013	49
26015	170
26017	634
26019	38
26021	765
26023	253
26025	695
26027	158
26029	145
26031	147
26033	155
26035	157
26037	318
26039	49
26041	247
26043	118
26045	411
26047	251
26049	1184
26051	33
26053	81
26055	873
26057	141
26059	199
26061	365
26063	131
26065	3423
26067	232
26069	87
26071	40
26073	569
26075	898
26077	1384
26079	71
26081	3355
26083	7
26085	31
26087	361
26089	132
26091	395
26093	848
26095	12
26097	174
26099	2653
26101	86
26103	428
26105	252
26107	311
26109	136
26111	598
26113	69
26115	569
26117	423
26119	14
26121	718
26123	205
26125	4906
26127	104
26129	72
26131	48
26133	168
26135	161
26137	82
26139	1467
26141	88
26143	109
26145	768
26147	711
26149	394
26151	158
26153	10
26155	406
26157	240
26159	400
26161	3433
26163	8904
